Store ,Item#,Item Description,Vendor Item#,First Cost,Selling Price,Inventory Qty,Inventory Cost,Sold Qty,Revenue
5,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,2,$5.50,0,$0.00
5,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,2,$8.00,0,$0.00
5,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
5,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,0,$0.00,1,$14.99
5,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,3,$13.50,0,$0.00
5,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,1,$4.50,0,$0.00
5,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,3,$12.00,0,$0.00
5,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,0,$0.00,3,$44.97
6,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,1,$5.50,0,$0.00
6,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,2,$9.50,0,$0.00
6,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,1,$2.75,0,$0.00
6,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,2,$5.62,0,$0.00
6,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,3,$12.75,0,$0.00
6,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,1,$2.92,0,$0.00
6,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
6,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
6,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
6,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,2,$9.00,0,$0.00
6,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,2,$9.00,0,$0.00
6,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,3,$13.50,0,$0.00
6,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,0,$0.00,1,$9.99
6,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,2,$8.00,1,$14.99
6,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
6,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,3,$11.25,0,$0.00
6,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
7,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,4,$19.00,0,$0.00
7,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,3,$8.25,0,$0.00
7,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,5,$21.25,0,$0.00
7,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,3,$8.76,0,$0.00
7,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,2,$5.50,0,$0.00
7,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
7,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,2,$9.00,0,$0.00
7,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,1,$4.50,0,$0.00
7,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,4,$18.00,0,$0.00
7,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,2,$9.00,0,$0.00
7,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,1,$2.25,1,$9.99
7,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,3,$12.00,0,$0.00
7,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
7,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,0,$0.00,1,$12.99
7,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
8,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,3,$16.50,0,$0.00
8,670486,AH Flag Stud Earring,RAC3080QD,$2.75,$9.99,2,$5.50,0,$0.00
8,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,1,$4.75,0,$0.00
8,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,2,$5.50,0,$0.00
8,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,5,$14.05,0,$0.00
8,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,4,$17.00,0,$0.00
8,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,1,$2.92,0,$0.00
8,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
8,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
8,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
8,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,4,$18.00,0,$0.00
8,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,4,$18.00,0,$0.00
8,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,2,$9.00,0,$0.00
8,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,1,$2.25,1,$9.99
8,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,2,$8.00,0,$0.00
8,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
8,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,5,$18.75,0,$0.00
8,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
9,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,5,$23.75,0,$0.00
9,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,4,$11.00,0,$0.00
9,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,3,$12.75,0,$0.00
9,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,0,$0.00,1,$6.99
9,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,2,$5.50,0,$0.00
9,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
9,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
9,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,3,$13.50,0,$0.00
9,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,2,$9.00,0,$0.00
9,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,2,$4.50,1,$9.99
9,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,3,$12.00,0,$0.00
9,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,4,$15.00,0,$0.00
9,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
10,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,1,$5.50,0,$0.00
10,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,6,$28.50,0,$0.00
10,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,4,$11.00,0,$0.00
10,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,2,$5.84,0,$0.00
10,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,2,$5.50,0,$0.00
10,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
10,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
10,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,2,$9.00,0,$0.00
10,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,2,$8.00,0,$0.00
10,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
10,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,3,$11.25,0,$0.00
11,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,1,$5.50,0,$0.00
11,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,3,$14.25,0,$0.00
11,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,5,$13.75,0,$0.00
11,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,2,$5.84,0,$0.00
11,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,2,$5.50,0,$0.00
11,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,2,$8.00,0,$0.00
11,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
11,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,3,$13.50,0,$0.00
11,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,3,$12.00,0,$0.00
11,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,2,$7.50,2,$25.98
11,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,2,$7.50,1,$14.99
12,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,1,$5.50,0,$0.00
12,670486,AH Flag Stud Earring,RAC3080QD,$2.75,$9.99,1,$2.75,0,$0.00
12,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,5,$23.75,0,$0.00
12,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,4,$11.00,0,$0.00
12,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,5,$14.05,0,$0.00
12,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,5,$21.25,0,$0.00
12,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
12,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
12,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
12,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,2,$9.00,2,$29.98
12,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,3,$13.50,0,$0.00
12,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,2,$9.00,0,$0.00
12,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,1,$2.25,0,$0.00
12,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,3,$12.00,0,$0.00
12,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
12,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,3,$11.25,0,$0.00
12,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
13,670486,AH Flag Stud Earring,RAC3080QD,$2.75,$9.99,2,$5.50,0,$0.00
13,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,4,$19.00,0,$0.00
13,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,6,$16.86,0,$0.00
13,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,5,$21.25,0,$0.00
13,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,6,$16.50,0,$0.00
13,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,6,$24.00,0,$0.00
13,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,6,$27.00,0,$0.00
13,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,6,$27.00,1,$14.99
13,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,3,$13.50,0,$0.00
13,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,5,$22.50,0,$0.00
13,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,2,$8.00,0,$0.00
13,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,2,$7.50,0,$0.00
13,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,5,$18.75,1,$14.99
15,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,4,$22.00,0,$0.00
15,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,5,$23.75,0,$0.00
15,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,7,$19.25,0,$0.00
15,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,6,$16.86,0,$0.00
15,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,1,$2.92,0,$0.00
15,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
15,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
15,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,6,$27.00,0,$0.00
15,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,5,$22.50,1,$14.99
15,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,3,$13.50,0,$0.00
15,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,3,$13.50,1,$14.99
15,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,3,$12.00,0,$0.00
15,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
15,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,2,$7.50,0,$0.00
15,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
16,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,3,$14.25,0,$0.00
16,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,3,$8.25,0,$0.00
16,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,3,$12.75,0,$0.00
16,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,3,$8.76,0,$0.00
16,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
16,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,6,$24.00,0,$0.00
16,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
16,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,1,$2.25,0,$0.00
16,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,4,$16.00,0,$0.00
16,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
16,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,2,$7.50,0,$0.00
17,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,1,$5.50,0,$0.00
17,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,6,$28.50,0,$0.00
17,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,4,$11.24,1,$9.99
17,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,6,$25.50,0,$0.00
17,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,2,$5.84,1,$6.99
17,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
17,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
17,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,6,$27.00,0,$0.00
17,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,4,$18.00,1,$14.99
17,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,6,$27.00,0,$0.00
17,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,4,$18.00,1,$14.99
17,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,2,$4.50,1,$9.99
17,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,5,$20.00,0,$0.00
17,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
17,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,4,$15.00,0,$0.00
17,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
18,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,5,$23.75,0,$0.00
18,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,4,$11.00,0,$0.00
18,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,4,$11.24,0,$0.00
18,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,1,$2.92,1,$6.99
18,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
18,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,6,$24.00,0,$0.00
18,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
18,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,1,$4.50,1,$14.99
18,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,2,$9.00,0,$0.00
18,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,7,$31.50,0,$0.00
18,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,1,$2.25,0,$0.00
18,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,2,$8.00,0,$0.00
18,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
18,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,4,$15.00,0,$0.00
19,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,6,$28.50,0,$0.00
19,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,2,$5.50,0,$0.00
19,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,3,$8.43,1,$9.99
19,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,0,$0.00,1,$6.99
19,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
19,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
19,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
19,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,2,$9.00,0,$0.00
19,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,1,$2.25,1,$9.99
19,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,3,$12.00,0,$0.00
19,706262,07 Blush Pave N&E St,RAC7425,$3.75,$14.99,3,$11.25,0,$0.00
19,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,1,$3.75,0,$0.00
19,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,6,$22.50,0,$0.00
20,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,2,$11.00,0,$0.00
20,670486,AH Flag Stud Earring,RAC3080QD,$2.75,$9.99,1,$2.75,0,$0.00
20,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,4,$19.00,0,$0.00
20,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,4,$11.00,0,$0.00
20,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,3,$8.43,0,$0.00
20,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,6,$25.50,0,$0.00
20,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,5,$14.60,1,$6.99
20,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,6,$16.50,0,$0.00
20,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,6,$24.00,0,$0.00
20,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,4,$18.00,0,$0.00
20,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,3,$13.50,0,$0.00
20,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,2,$9.00,0,$0.00
20,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,3,$13.50,0,$0.00
20,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,2,$8.00,1,$14.99
20,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,3,$11.25,0,$0.00
20,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
21,670486,AH Flag Stud Earring,RAC3080QD,$2.75,$9.99,3,$8.25,0,$0.00
21,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,3,$14.25,2,$29.98
21,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,1,$2.75,0,$0.00
21,680400,07 Cut Out Earrings,RAC5383,$2.81,$9.99,3,$8.43,0,$0.00
21,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,4,$17.00,1,$14.99
21,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,2,$5.84,2,$13.98
21,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
21,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,6,$24.00,0,$0.00
21,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,6,$27.00,0,$0.00
21,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,2,$9.00,0,$0.00
21,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,3,$13.50,0,$0.00
21,699526,Pave Bsktbll N&E Set,RAC3796,$4.50,$14.99,2,$9.00,1,$14.99
21,706260,07 Pave Circle Ncklc,RAC7423,$2.25,$9.99,2,$4.50,0,$0.00
21,706261,07 Pearl Tassel Ncklc,RAC7424,$4.00,$14.99,2,$8.00,0,$0.00
21,706263,HW Pmpkn Pave Set,RAC7426,$3.75,$12.99,6,$22.50,0,$0.00
21,706264,TR Fireball Heart St,RAC7427,$3.75,$14.99,3,$11.25,0,$0.00
22,670485,AH Firebll Heart Set,RACX3284,$5.50,$14.99,1,$5.50,0,$0.00
22,670820,04 Mystic Necklace,RACN3159JD,$4.75,$14.99,9,$42.75,0,$0.00
22,670825,04 Mystic Hoop Earring,RACE3161JD,$2.75,$9.99,6,$16.50,0,$0.00
22,680402,07 Cut Out Necklace,RAC5364,$4.25,$14.99,3,$12.75,0,$0.00
22,680405,08FF Owl Mirror Key Chain,RAC5321,$2.92,$6.99,2,$5.84,0,$0.00
22,698204,EL Glitter Paper Earrings,RAC20001,$2.75,$9.99,4,$11.00,0,$0.00
22,698208,EL 20PC Earring Set,RAC20005,$4.00,$12.99,4,$16.00,0,$0.00
22,698222,EL Glitr Paper Necklace,RAC20003-A,$4.50,$14.99,2,$9.00,0,$0.00
22,699524,Pave Footbll N&E Set,RAC3797,$4.50,$14.99,3,$13.50,0,$0.00
22,699525,Pave Basebll N&E Set,RAC3795,$4.50,$14.99,3,$13.50,0,$0.00
