"","x"
"28","Chuck Schumer Nails it: Trump's Speech to Congress Was Detached from His Own Reality via @politicususa https://t.co/bhZkOdcRYV"
"29","Hollywood reaction to Trump's speech
REMEMBER~~Hollywood has $
Trump is planning on taking away that $
GREED = HATE

https://t.co/piEieZHrXq"
"30","Bernie Sanders' scathing response to Donald Trump's first address to Congress https://t.co/WfzZXRk1Gn via @motherjones"
"31","RT @washingtonpost: Trump’s speech to Congress highlights influence of Ivanka, Bannon https://t.co/BGATYaczB8"
"32","President Trump's speech to Congress was a very good moment for him - objectively https://t.co/ktHVbbOSPY https://t.co/UwAylAg4sC"
"33","President Trump readies for his first major speech before Congress. Plus the Mobile World Congress in Spain ...… https://t.co/0lLYHpR0ga"
"34","RT @Paola_Dec1231: Hoping @JustinTrudeau is watching. Many of @POTUS msgs adapt easily to the plight of millions of Cdns. #TrumpAddress
htt…"
"35","RT @chicagotribune: Fact check: Donald Trump's claims on jobs, Obamacare https://t.co/ZyFVm5PjAo https://t.co/n20SW5F7uR"
"36","RT @HuffingtonPost: Stephen Colbert rips apart Trump's first major speech to Congress https://t.co/kPhRlp2T9p https://t.co/G6ZS4aiVvK"
"37","RT @dcexaminer: Snap poll: Trump soars following speech to Congress https://t.co/RHvkMYsMwu https://t.co/o4qlYuzcPb"
"38","RT @pharris830: Trump's Speech to Congress Contained Dozens of Lies, Falsehoods, Inaccurate, or Misleading Statements https://t.co/8KWq1bD9…"
"39","Trump calls for 'merit-based' immigration system in address to Congress

#immigration #immigrants https://t.co/grFw38ok4Z"
"40","RT @CNN: Van Jones on Trump: 'He became President of the United States in that moment, period' https://t.co/PkQV7RhnCO"
"41","President Trump’s First Speech To Congress, By The Numbers https://t.co/rfhBt5l3wE @3lectric5heep"
"42","RT @GQMagazine: Alternative facts https://t.co/E8JKqZZ4sf"
"43","RT @nycjim: Not surprisingly, Trump's speech was filled with distortions of fact.  https://t.co/4JVg1fbOW3"
"44","We r living inalternative dimension, this orange humanoid is a puppet, all lies, his focus is HIS DYNASTY not YOU! https://t.co/HYyFSaYPil"
"45","RT @FoxNews: .@POTUS: ""My job is not to represent the world.  My job is to represent the United States of America."" #TrumpAddress https://t…"
"46","Trump, in Optimistic Address, Asks Congress to End ‘Trivial Fights’ https://t.co/mxMcXA2Va4 Fantastic speech from a fantastic President !"
"47","RT @America4Trump_: Melania Trump Dazzles In Exquisite Michael Kors Outfit At Trump’s Congress Speech! https://t.co/HA7FJp8SI1 https://t.co…"
"48","RT @RheaSuh: Trump's Congress speech left unsaid his continued assault on our environment. My op-ed in @thehill: https://t.co/Tfp0aYm8lI #J…"
"49","RT @EvelynWhiteGOP: Melania Trump Dazzles In Exquisite Michael Kors Outfit At Trump’s Congress Speech! https://t.co/k8WPWrykyi https://t.co…"
"50","RT @PoliticusSarah: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/gKdCCM…"
"51","RT @TheAtlantic: .@DavidFrum outlines the three failures of Trump's speech to Congress: https://t.co/UCmHqBfoMU https://t.co/zO8GCqLacu"
"52","Trump's Speech to Congress Was His Usual Nonsense in a Conventional Tone https://t.co/E0xJtt7Eml. A SPEECH TOTALLY GENERIC WITH NO SPECIFICS"
"53","Stocks surge to record highs after Trump's speech to Congress https://t.co/8OxkwAMAMH https://t.co/nQdzQZQ2SI"
"54","RT @scullymike: Trump prepares for speech to Congress https://t.co/k7fN9bhDuu"
"55","RT @Jezebel: Democratic women in congress wore their best suffragette whites to Trump's speech. https://t.co/V2bQ9yiOid https://t.co/uZbR6B…"
"56","President Trump honors fallen Navy SEAL Ryan Owens in speech to Congress https://t.co/6uKb0CcMBz https://t.co/DxOvNmyBhD"
"57","Stocks surge to record highs after Trump's speech to Congress https://t.co/nQxKEyjkcP #houston #cypress #mortgage #realestate #news #lende…"
"58","Almost every big claim Donald Trump just made was false https://t.co/R7Wnug9EWc"
"59","Almost every big claim Donald Trump just made was false https://t.co/FB5JLryDMP"
"60","RT @Independent: When you fact-check Trump's latest speech, you find that almost every claim wasn't true https://t.co/sv5rwzZaaA https://t.…"
"61","FULL SPEECH: President Trump's address to a joint session of Congress https://t.co/ea1sNrNpAa #THEHILL"
"62","RT @CNNPolitics: Van Jones on Trump honoring a Navy SEAL's widow: ""He became President of the United States in that moment, period"" https:/…"
"63","RT @mitchellvii: CBS News poll: Viewers strongly approve of Trump's speech to Congress - CBS News https://t.co/InNAV9eesK"
"64","RT @NTtrump: Trump’s INCREDIBLE Tribute to Fallen SEAL Steals the Show at Speech to Congress https://t.co/vUraoHCwHj https://t.co/JyrmhtEfWf"
"65","RT @ColinKahl: ""Every jihadist who carried out a lethal attack in the U.S. since 9/11 was a citizen or legal resident."" https://t.co/pyiVrb…"
"66","#psu917 “Trump speech to congress  promise ""renewal of American spirit"". https://t.co/LzQCd5hUiO"
"67","RT @Independent: Donald Trump made 61 statements in his speech. 51 were false https://t.co/lo8NB6Rcok"
"68","RT @The_Trump_Train: RETWEET if you think President Trump is giving an excellent speech and valid points to congress! #JointAddress #MakeAm…"
"69","'UNITY AND STRENGTH' Trump sets ambitious agenda in speech, vows economic revival via the @FoxNews app https://t.co/ypJymOC6cS"
"70","RT @ajplus: After President Trump's speech to Congress, Bernie Sanders tells Americans they need to keep fighting. https://t.co/Bf6Z7iBW6j"
"71","RT @CNN: ""He really stepped up his game."" Trump supporters overwhelmingly give him an A for his first big speech to Congress https://t.co/G…"
"72","RT @ABC: Pres. Trump pitches unity to Congress amid turbulent start to presidency. ""The time for trivial fights is behind us"" https://t.co/…"
"73","RT @Independent: Almost every big claim Donald Trump just made was false https://t.co/vro9jpmG12"
"74","President Trump's Full Speech to Congress 2.28.17 - The Trump Times https://t.co/3wrDXZEi7Z"
"75","RT @Independent: When you fact-check Trump's latest speech, you find that almost every claim wasn't true https://t.co/sv5rwzZaaA https://t.…"
"76","RT @mattyglesias: The Trump Show isn’t what matters. https://t.co/sAF9b5GDai https://t.co/EmbXpjhoLC"
"77","RT @LindaSuhler: President Trump promises 'renewal of American spirit' in Congress speech
#JointAddress #MAGA #JointSession 
https://t.co/Q…"
"78","RT @HuffingtonPost: Our most unpredictable president to deliver Washington’s most boring speech https://t.co/Ft9oQxirh9 https://t.co/m594ru…"
"79","I wonder where Trump got his idea for an immigrant crime registry from. #Bannon https://t.co/coQloGlXSA https://t.co/nHDz8YePEy"
"80","RT @BBCBreaking: President Trump promises ""renewal of American spirit"" in first speech to joint session of Congress https://t.co/L97EN1JM1j"
"81","Dow Jones Industrial Average breaks 21,000 after Trump’s speech to Congress:  The premier US stock index broke... https://t.co/DtuDAxb1td"
"82","RT @LindaSuhler: Viewers strongly approve of President Trump's speech to Congress
#JointAddress #JointSession #MAGA
https://t.co/4jVHLqDwp3"
"83","RT @theblaze: Liberal pundit Van Jones says Trump ‘became the president’ in his speech to Congress https://t.co/zHDQRB8lOT https://t.co/IWl…"
"84","RT @theblaze: Liberal pundit Van Jones says Trump ‘became the president’ in his speech to Congress https://t.co/zHDQRB8lOT https://t.co/IWl…"
"85","RT @FoxNews: .@POTUS: ""My job is not to represent the world. My job is to represent the United States of America."" #TrumpAddress https://t.…"
"86","'UNITY AND STRENGTH'  Trump sets ambitious agenda in speech, vows economic revival https://t.co/NRXk3kOMRN #fox-news"
"87","RT @RubyCodpiece: Donald Trump fact check: Almost every big claim he made in his Joint Address to Congress was false

https://t.co/rMPZkbWZ…"
"88","The Daily 202: Trump's speech to Congress highlights influence of Ivanka, Bannon - Washington Post https://t.co/GrDSMM6zxg"
"89","RT @TheAtlantic: .@DavidFrum outlines the three failures of Trump's speech to Congress: https://t.co/UCmHqBfoMU https://t.co/zO8GCqLacu"
"90","RT @Fusion: There is no 'New Trump' –– Good ol' Trump's speech to Congress was full of ugly, dangerous lies about immigrants: https://t.co/…"
"91","Celebs React to Trump Speech: 'Suck a Bag of Soiled D*cks' https://t.co/92NRLaQti9"
"92","RT @politico: Schumer tries to throw cold water on Trump's rave reviews https://t.co/1FDGR5Ypt4"
"93","RT @GODBLESSAMERIC: Melania Trump Dazzles In Exquisite Michael Kors Outfit At Trump’s Congress Speech! https://t.co/yrhgF9EXHD https://t.co…"
"94","RT @Independent: Almost every big claim Donald Trump just made was false https://t.co/vro9jpmG12"
"95","RT @FoxNewsInsider: @mike_pence on @realDonaldTrump Speech: 'It Was a Great Night for America' @foxandfriends https://t.co/3D2rb9MCDJ https…"
"96","Donald Trump's Congress speech was a heroic effort in contradiction and cliche https://t.co/Ro16qBzbR5"
"97","I'm not fooled - Trump’s Speech to Congress Marks a Shift in Tone https://t.co/emPPpk2t1l"
"98","RT @Independent: When you fact-check Trump's latest speech, you find that almost every claim wasn't true https://t.co/sv5rwzZaaA https://t.…"
"99","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"100","RT @NolteNC: 4 Stunning Responses from the Left to Trump's Triumphant Speech to Congress 

https://t.co/Qpsf98e1IK https://t.co/goBNrSWZ3C"
"101","RT @DebFreedomVoice: Trump, in speech to Congress, calls to ‘restart the engine’ of US economy via the @FoxNews App https://t.co/Yux0yypsj6"
"102","RT @mcgilh: CBS News poll: Viewers strongly approve of Trump's speech to Congress - CBS News https://t.co/jVmi9dNpg7"
"103","RT @CaesarOtavianus: Viewers strongly approve of Trump's speech to Congress https://t.co/FO06xWQwnv"
"104","RT @thinkprogress: Pundits and white supremacists alike loved Trump's speech to Congress
https://t.co/pHGs8FmqWl"
"105","RT @chicagotribune: Fact check: Donald Trump's claims on jobs, Obamacare https://t.co/ZyFVm5PjAo https://t.co/n20SW5F7uR"
"106","#Trump Reiterates Promise To ‘Extinguish’ #ISIS In Speech To #Congress https://t.co/TZrJrCFiR2"
"107","Almost every big claim Donald Trump just made was false #ImpeachTrump #FakePresident #TrumpRussia… https://t.co/1bcakBvRZU"
"108","RT @Independent: Almost every big claim Donald Trump just made was false https://t.co/vro9jpmG12"
"109","RT @nytimes: Which Donald Trump is real? https://t.co/bESJ36reqe https://t.co/Of4YYbKdv0"
"110","RT @washingtonpost: Trump’s speech to Congress highlights influence of Ivanka, Bannon https://t.co/BGATYaczB8"
"111","RT @KDorr45: ICYMI: Viewers strongly approve of @POTUS speech to Congress https://t.co/hSXz3fB0Lv"
"112","Underscoring......Fact-checking Trump’s speech to Congress: Trump takes credit he hasn’t earned - Salon https://t.co/ExjYw5hn3h"
"113","RT @washingtonpost: Trump’s speech to Congress highlights influence of Ivanka, Bannon https://t.co/BGATYaczB8"
"114","RT @FoxNews: 'A Very Encouraging Night': @SenTedCruz Reacts to @realDonaldTrump's Address https://t.co/oDr5doJKUN"
"115","RT @LindaSuhler: Viewers strongly approve of President Trump's speech to Congress
#JointAddress #JointSession #MAGA
https://t.co/4jVHLqDwp3"
"116","Trump Calls for Aggressive Change in Speech to Congress #gleanpolitics https://t.co/EBKuhfAxdM"
"117","RT @politicususa: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/0lTUUkhC…"
"118","RT @Independent: Donald Trump made 61 statements in his speech. 51 were false https://t.co/lo8NB6Rcok"
"119","RT @People4Bernie: Bernie Sanders Tells Supporters to Keep Fighting Because Republicans are ""Not So Cocky Anymore"" https://t.co/lbOTKMCkiZ"
"120","RT @politicususa: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/0lTUUkhC…"
"121","Trump offered sobriety and seriousness in a great speech. This could calm down many who have been weary of his tone. https://t.co/nldYVHipJE"
"122","RT @ColinKahl: ""Every jihadist who carried out a lethal attack in the U.S. since 9/11 was a citizen or legal resident."" https://t.co/pyiVrb…"
"123","Trump's Speech to Congress Was a Peter Thiel Fever Dream | WIRED https://t.co/7pbqRXncF6"
"124","RT @CNN: Van Jones on Trump honoring a Navy SEAL's widow: ""He became President of the United States in that moment, period"" https://t.co/Q4…"
"125","RT @CNN: Van Jones on Trump honoring a Navy SEAL's widow: ""He became President of the United States in that moment, period"" https://t.co/Q4…"
"126","BREAKING: #Dow Jones Industrial Average breaks 21,000 after Trump’s speech to Congress https://t.co/3GD6WtdXfh https://t.co/kmCd0tXQg9"
"127","RT @globeandmail: Trump points to Canada as a model for U.S. immigration reform in Congress speech
https://t.co/8FS9zD88Np From @adrianmorr…"
"128","Democratic women in Congress wear white to the #TrumpAddress https://t.co/b56krZGczW by #CNN via @c0nvey https://t.co/naREiYdGS6"
"129","RT @samsanders: Miss the speech last night? @NPR's got ya covered: https://t.co/tMZdwxmOhu"
"130","RT @TNewViewer: Trump’s INCREDIBLE Tribute to Fallen SEAL Steals the Show at Speech to Congress https://t.co/YHZNLbpBi7 https://t.co/LzIg3b…"
"131","The Daily 202: Trump’s speech to Congress highlights influence of Ivanka, Bannon https://t.co/OhKXfwCWXs"
"132","RT @RT_America: BREAKING: #Dow Jones Industrial Average breaks 21,000 after Trump’s speech to Congress https://t.co/jbbNRpS75p https://t.co…"
"133","RT @NBCNews: Dow Jones hits record 21,000 as Wall Street cheers President Trump’s speech https://t.co/vFZdDWezRq https://t.co/lkX76SdlFN"
"134","RT @aerdt: When you fact-check Donald #Trump's latest speech, you find that even the technically true parts aren't really true 
https://t.c…"
"135","RT @Harlan: In Congress speech, Trump stood to unify while Democrats sat to divide

Great piece @kayleighmcenany! https://t.co/MCNrpZDHFk"
"136","RT @GlennThrush: Trump succeeded cos the bar was low, he stuck to script and, for the first time, added some redemption to his wrath https:…"
"137","RT @PoliticusSarah: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/gKdCCM…"
"138","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"139","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"140","RT @mattyglesias: The Trump Show isn’t what matters. https://t.co/sAF9b5GDai https://t.co/EmbXpjhoLC"
"141","RT @ColinKahl: ""Every jihadist who carried out a lethal attack in the U.S. since 9/11 was a citizen or legal resident."" https://t.co/pyiVrb…"
"142","Bernie Sanders' BRILLIANT Response To Trump's Speech To Congress https://t.co/7Hc8CwOE7e"
"143","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"144","#NEWS MSNBC’s Celebrity Panel Melts Over Trump’s Speech To Congress [VIDEO] https://t.co/NL2JDNEdab"
"145","RT @FoxBusiness: President #Trump's first speech to Congress: Buy American, Hire American   https://t.co/hV63jUlMxx"
"146","Hey @CNNPolitics - ""Not Unhinged"" is not ""Presidential"" @ResistHere @IndivisibleTeam https://t.co/E1D9rzpt1w"
"147","RT @amiraminiMD: BREAKING: ""Trump did NOT throw his poop at members of Congress during his speech. 
He is finally presidential. A NEW TRUMP…"
"148","»Bernie Sanders' BRILLIANT Response To Trump's Speech To Congress« v YouTubu - https://t.co/cUPy3LjHcY"
"149","Maybe #trump should publish list if crimes by ""natives"" to compare with https://t.co/GVp9J7gENK"
"150","Almost every big claim Donald Trump just made was false https://t.co/4LdPZhdSCh"
"151","RT @JasonMillerinDC: CBS News poll: Viewers strongly approve of Trump's speech to Congress - CBS News https://t.co/Jtqo5Ylt5f"
"152","RT @mitchellvii: CBS News poll: Viewers strongly approve of Trump's speech to Congress - CBS News https://t.co/InNAV9eesK"
"153","RT @CharlesHurt: Dems left angry, sour and bewildered by Trump's spectacular speech... https://t.co/Qrtc0jmB1e"
"154","RT @ajplus: After President Trump's speech to Congress, Bernie Sanders tells Americans they need to keep fighting. https://t.co/Bf6Z7iBW6j"
"155","RT @People4Bernie: n his own response to Trump's address to Congress, Sanders urges supporters to ""continue the fight"" https://t.co/OqE8dP3…"
"156","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/VI9XzDV1M9"
"157","RT @FL_MediaGirl: Donald Trump Changed His Tone to Push Nationalist Policies on Trade, Immigration https://t.co/XZkHEMHkOa"
"158","RT @SocialPowerOne1: Chuck Schumer Nails it: Trump’s Speech to Congress Was Detached from His Own Reality https://t.co/DUk61uek6B"
"159","President Trump’s Speech to Congress, Langevin Reacts https://t.co/AeOHnKLoTk #trump #trumpaddress https://t.co/j8N08imR0n"
"160","RT @FoxNews: .@POTUS: “Those seeking to enter a country ought to be able to support themselves financially.” https://t.co/dAlG7h8ytD #Trump…"
"161","RT @LindaSuhler: President Trump promises 'renewal of American spirit' in Congress speech
#JointAddress #MAGA #JointSession 
https://t.co/Q…"
"162","RT @NCPSSM: Trump’s speech snubs seniors. His silence on #SocialSecurity &amp; #Medicare speaks volumes: https://t.co/kq8uD8jhCM https://t.co/7…"
"163","RT @FoxNews: Chris Wallace: ""I feel like tonight @realDonaldTrump became the President of the United States."" #TrumpAddress https://t.co/dA…"
"164","RT @immigrant4trump: VIDEO: FULL SPEECH: President Trump FIRST Joint Session Speech Of Congress #Maga #Trump https://t.co/Rh0uVTfVJf"
"165","RT @WashBlade: Trump's speech to Congress mixed bleak outlook with populist viewpoint https://t.co/GS11D4yukb…"
"166","Donald Trump's speech to Congress was more shocking for what he didn’t talk about https://t.co/RK7Oqj6YdM #FuckTrump #Resist #ImpeachTrump"
"167","The Guardian view on Trump’s Congress speech: different tone, same threat | Editorial https://t.co/Zf6Crd4ahR"
"168","RT @immigrant4trump: VIDEO: FULL SPEECH: President Trump FIRST Joint Session Speech Of Congress #Maga #Trump https://t.co/4u0jl3Ni6R"
"169","RT @RheaSuh: Trump's Congress speech left unsaid his continued assault on our environment. My op-ed in @thehill: https://t.co/Tfp0aYm8lI #J…"
"170","RT @ajplus: After President Trump's speech to Congress, Bernie Sanders tells Americans they need to keep fighting. https://t.co/Bf6Z7iBW6j"
"171","'Presidential Trump': Here are the stories leading https://t.co/pTl5HdVMB0 this morning https://t.co/pdZyu7zNqu https://t.co/iDr1X0xdTP"
"172","22 promises Trump made in his speech to Congress, in one chart - Vox https://t.co/0UCDroo5Hx"
"173","TRANSCRIPT: President Trump's Joint Session of Congress Address https://t.co/r05bxLUD5H"
"174","Dow Jones Industrial Average breaks 21,000 after Trump’s speech to Congress https://t.co/ZH4Palfi2d"
"175","RT @ezraklein: The speech reaction shows how much the media still treats this as the Trump Show rather than the Trump Presidency: https://t…"
"176","RT @MatthewACherry: Live video of Trump practicing his speech in the car before addressing congress earlier tonight https://t.co/IHC721EQxd"
"177","Donald Trump ignored his own national security adviser when he used the term 'Radical Islamic terrorism' https://t.co/tABcdMgLo9"
"178","RT @politicususa: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/0lTUUkhC…"
"179","RT @Independent: Almost every big claim Donald Trump just made was false https://t.co/vro9jpmG12"
"180","RT @CNN: A tale of two speeches: Comparing Trump's inaugural to his address to Congress https://t.co/pHVoc9mRrw https://t.co/GW6I1YC48B"
"181","Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/gWOt6pELKT"
"182","RT @WomenintheWorld: Group of women members of Congress wore all white to Trump’s joint session speech: https://t.co/3N6X4XtvUe https://t.c…"
"183","Even @NPR's @MaraLiasson, who certainly should know better by now, can't resist the ""pivot"" cliché. It's BS, Mara.… https://t.co/WTtoJ1vBjE"
"184","RT @Thomas1774Paine: VIDEO: Bitter Maxine Waters Boycotted President Trump’s speech to Congress: Busy Prepping for Russian Invasion? 
https…"
"185","RT @PoliticusSarah: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama via @politicususa https://t.co/gKdCCM…"
"186","A different tone from Trump, but the same message in speech to Congress https://t.co/1f12sJJoFc https://t.co/LqXjBTeIJk"
"187","RT @ezraklein: ""Trump is only ever performing the role of the president; he’s never doing the job"" https://t.co/jxb4x6r962"
"188","Analysis: Trump shocks Congress with a speech that stuck to script https://t.co/dhJFfmLAYM"
"189","Trump speaks to Congress: CNN's Reality Check Team vets the claims @CNNPolitics https://t.co/GhOhdAhPcb"
"190","RT @RheaSuh: Trump's Congress speech left unsaid his continued assault on our environment. My op-ed in @thehill: https://t.co/Tfp0aYm8lI #J…"
"191","RT @standupbeloud: .@DavidFrum outlines the three failures of Trump's speech to Congress: https://t.co/I3gfiEgSSx"
"192","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"193","Speech hailed as Trump's most presidential moment was ""all him,""according to Pence https://t.co/Rg0J0VoYZk https://t.co/feImiSoxqu"
"194","RT @Independent: Almost every big claim Donald Trump just made was false https://t.co/vro9jpmG12"
"195","RT @washingtonpost: Trump’s speech to Congress highlights influence of Ivanka, Bannon https://t.co/BGATYaczB8"
"196","Speech hailed as Trump's most presidential moment was ""all him,""according to Pence https://t.co/76PG88daao https://t.co/nGqEvlOMtP"
"197","RT @NBCNews: Dow Jones hits record 21,000 as Wall Street cheers President Trump’s speech https://t.co/vFZdDWezRq https://t.co/lkX76SdlFN"
"198","RT @NBCNightlyNews: 12 fact checks from Pres. Trump's speech to Congress. https://t.co/oqZ6JfY0B7 https://t.co/4kJhpX4Y3B"
"199","Bernie Sanders' BRILLIANT Response To Trump's Speech To Congress https://t.co/tud6r06WYF via @YouTube The Democrats shoulda picked this guy!"
"200","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"201","RT @Nvr4Get91101: Trump's #JointSession Speech to Congress Marks the Real Start of His Presidency https://t.co/VMKBfYBQpp"
"202","TRUMP NEWS, President Donald Trump Speech Today 2/28/2017 , Addresses the Joint Session of Congress https://t.co/lMtfq7ujAA"
"203","RT @ajplus: After President Trump's speech to Congress, Bernie Sanders tells Americans they need to keep fighting. https://t.co/Bf6Z7iBW6j"
"204","RT @pharris830: Trump's Speech to Congress Contained Dozens of Lies, Falsehoods, Inaccurate, or Misleading Statements https://t.co/8KWq1bD9…"
"205","RT @FoxNews: Top Dems Respond to Trump Address https://t.co/NdG533asBr"
"206","RT @DailyMail: Snap poll finds 78 percent reacted positively to Trump's speech to Congress https://t.co/EvhdhA2L97"
"207","YouTube FULL SPEECH: President Donald Trump Addresses the Joint Session of Congress 2/28/2017 HD YouTube FULL… https://t.co/rVVJitIq0U"
"208","YouTube FULL SPEECH: President Donald Trump Addresses the Joint Session of Congress 2/28/2017 HD YouTube FULL… https://t.co/ESqlMdTNsP"
"209","RT @Fusion: There is no 'New Trump' –– Good ol' Trump's speech to Congress was full of ugly, dangerous lies about immigrants: https://t.co/…"
"210","President Trump's Full Speech to Congress 2.28.17 - The Trump Times https://t.co/nfvtRriHi1"
"211","RT @jorgeramosnews: Donald Trump's speech to Congress was full of ugly, dangerous lies about immigrants https://t.co/cD2LKs0dcF via @fusion"
"212","TelePrompTer Trump! https://t.co/cdOvrP14Qa"
"213","Schumer tries to throw cold water on Trump's rave reviews https://t.co/1FDGR5Ypt4"
"214","RT @ColinKahl: ""Every jihadist who carried out a lethal attack in the U.S. since 9/11 was a citizen or legal resident."" https://t.co/pyiVrb…"
"215","RT @HuffingtonPost: Stephen Colbert rips apart Trump's first major speech to Congress https://t.co/kPhRlp2T9p https://t.co/G6ZS4aiVvK"
"216","What Wall Street Is Saying About Trump's Speech https://t.co/0gpo1opSIU"
"217","RT @SocialPowerOne1: Trump Speech To Congress Bombs In The Ratings By Drawing Fewer Viewers Than Obama https://t.co/7m1QjQDrIk"
"218","RT @foxandfriends: President Trump, in speech to Congress, calls to ‘restart the engine’ of U.S. economy https://t.co/DYya5UMkll"
"219","RT @CNN: 'Presidential Trump': Here are the stories leading https://t.co/kE2PnwqItJ this morning https://t.co/alp1k7CpQY https://t.co/FIMW0…"
"220","Stephen Colbert Rips Apart Trump's First Major Speech To Congress https://t.co/qQhZYjw45b"
"221","RT @scullymike: Trump prepares for speech to Congress https://t.co/k7fN9bhDuu"
"222","TRUMP’S SPEECH: Reaction to Donald Trump’s first address to Congress.  What did you take away from the speech?… https://t.co/VR53T0bRNi"
"223","The president noted anti-Semitic threats &amp; vandalism in last night's speech to Congress: https://t.co/oAE5PuFhaY https://t.co/OD8O9KCpI4"
