"","x"
"28","Join the Macy's Retail team! See our latest #job opening here: https://t.co/RXtTtJT07q #Retail #Spokane, WA #Hiring #CareerArc"
"29","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Origins, Part Time: Walnut... - https://t.co/oL0SCwkj5Q"
"30","Want to work in #OakBrook, IL? View our latest opening: https://t.co/c8GOrNaV6r #Sales #Job #Jobs #Hiring #CareerArc"
"31","Interested in a #job in #Manhasset, NY? This could be a great fit: https://t.co/5Mjfao7r49 #Sales #Hiring #CareerArc"
"32","We're #hiring! Read about our latest #job opening here: **Retail Sales** Full Time: Bloomington, MN, Macy's... - https://t.co/RaezU9xv9H"
"33","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Estee Lauder, Part Time -... - https://t.co/ereruQTrDF"
"34","This #job might be a great fit for you: **Retail Administrative Support Team** Part Time: Monroeville, PA,... - https://t.co/cT8oqTw3WZ"
"35","Interested in a #job in #Arlington, VA? This could be a great fit: https://t.co/6nZ0L3Xv0z #Sales #Hiring #CareerArc"
"36","Can you recommend anyone for this #job in #SanMateo, CA? https://t.co/iLLob9r0en #Sales #Hiring #CareerArc"
"37","We're #hiring! Read about our latest #job opening here: Macy's Center City: Sales Supervisor - https://t.co/KHKQRt5ETB #Philadelphia, PA"
"38","If you're looking for work in #Lakewood, CA, check out this #job: https://t.co/g0Q9XONVtR #Finance #Hiring #CareerArc"
"39","We're #hiring! Read about our latest #job opening here: Macy's Kings Plaza: Sales Supervisor - https://t.co/Cm4ydoI9eo #Brooklyn, NY"
"40","Can you recommend anyone for this #job in #SanMateo, CA? https://t.co/vUk93NW580 #Retail #Hiring #CareerArc"
"41","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Clinique, Part Time: San... - https://t.co/qjHrA6LvZA"
"42","Can you recommend anyone for this #job in #Chicago, IL? https://t.co/pwLwSxgSOQ #Sales #Hiring #CareerArc"
"43","Interested in a #job in #CalumetCity, IL? This could be a great fit: https://t.co/VjvRrU3Ft1 #Retail #Hiring #CareerArc"
"44","Can you recommend anyone for this #job? **Retail Sales** Part Time: Bloomington, MN, Macy's Mall Of America - https://t.co/xmev2MtmyV"
"45","Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/km5ui68SqW #Sales #Hiring #CareerArc"
"46","Join the Macy's Retail team! See our latest #job opening here: https://t.co/8hxCjMvEUE #Finance #Providence, RI #Hiring #CareerArc"
"47","Macy's, Sears, &amp; JCPenney Closing 250+ Stores: Don't Ignore the Elephant in the Room https://t.co/7lWpa0ZxE1"
"48","#Coupons #GiftCards MACY'S MACYS MACY Gift Card $220 FREE SHIPPING NO RESERVE https://t.co/sQYm0PnNBO #Coupons… https://t.co/qOTurjwGBT"
"49","Join the Macy's Retail team! See our latest #job opening here: https://t.co/B1NGwYD8WD #Retail #Concord, CA #Hiring #CareerArc"
"50","This #job might be a great fit for you: Macy's Brooklyn Downtown: Sales Supervisor - https://t.co/XPVsGYpq7h #Retail #Brooklyn, NY #Hiring"
"51","We're #hiring! Click to apply: Retail Commission Sales - Furniture/Bedding, Part Time: Lima, OH, Macy's Lima... - https://t.co/2VW9iouJjT"
"52","We're #hiring! Click to apply: Retail Sales - Fragrances, Part Time: Meriden, CT, Macy's Meriden Square - https://t.co/ynuacGBlz2 #Sales"
"53","Want to work at Macy's Beauty? We're #hiring in #LakeGrove, NY! Click for details: https://t.co/75pRMMfN3R #Sales #Job #Jobs #CareerArc"
"54","We're #hiring! Read about our latest #job opening here: Retail Gift Registry Advisor, Part Time: Columbia,... - https://t.co/QyM7RrRvDv"
"55","If you're looking for work in #Albuquerque, NM, check out this #job: https://t.co/taDVQZl2ZI #Retail #Hiring #CareerArc"
"56","Interested in a #job in #SanMateo, CA? This could be a great fit: https://t.co/BIKseIOibe #Finance #Hiring #CareerArc"
"57","We're #hiring! Read about our latest #job opening here: **Retail Administrative Support Team** Part Time:... - https://t.co/3V9X5tYGUf"
"58","Can you recommend anyone for this #job in #OakBrook, IL? https://t.co/VlWCKmqcWf #Sales #Hiring #CareerArc"
"59","Join the Macy's Retail team! See our latest #job opening here: https://t.co/MXZD0ej0dr #IT #Suwanee, GA #Hiring #CareerArc"
"60","See our latest #Littleton, CO #job and click to apply: Retail Sales, Part Time: Littleton, CO, Macy's... - https://t.co/U69xrQmNQA #Retail"
"61","Interested in a #job in #Macon, GA? This could be a great fit: https://t.co/E2wku7QPPT #Sales #Hiring #CareerArc"
"62","@n3ss85 @Macys Great question. Unfortunately, the Macy's rewards cards are not able to be used in our stores.--Blake"
"63","Want to work in #Wayne, NJ? View our latest opening: https://t.co/7jMiTREQWq #Finance #Job #Jobs #Hiring #CareerArc"
"64","Can you recommend anyone for this #job in #Wayne, NJ? https://t.co/4SixdFAnjG #Retail #Hiring #CareerArc"
"65","This #job might be a great fit for you: **Retail Selling Floor Lead** Full Time: Portage, MI, Macy's The... - https://t.co/sZmMSWzYMH"
"66","If you're looking for work in #Bartlett, TN, check out this #job: https://t.co/XZIZ9iFNnO #Retail #Hiring #CareerArc"
"67","Interested in a #job in #PalmDesert, CA? This could be a great fit: https://t.co/p5rS7iK5Xn #Sales #Hiring #CareerArc"
"68","See our latest #Pasadena, CA #job and click to apply: Retail Cosmetics Sales - Beauty Advisor Clinique, Full... - https://t.co/imrbqkm2oc"
"69","Want to work in #Springfield, IL? View our latest opening: https://t.co/BmcOa5tpGJ #Retail #Job #Jobs #Hiring #CareerArc"
"70","We're #hiring! Read about our latest #job opening here: Retail Sales - Fragrances, Full Time: Baytown, TX,... - https://t.co/2bYjmMi2DC"
"71","VIDEO: Department Store Giant Macy’s Closing 100 Stores, Merritt Island #videolistbuidling https://t.co/WpTy9F8hyV https://t.co/m03XF07Csf"
"72","Can you recommend anyone for this #job in #Baltimore, MD? https://t.co/Uszs5XJqqp #Retail #Hiring #CareerArc"
"73","See our latest #FtLauderdale, FL #job and click to apply: Retail Support Signing Team Associate, Flex: Ft.... - https://t.co/DZ2J6EdtfX"
"74","Can you recommend anyone for this #job in #Champaign, IL? https://t.co/IAuWovMZSd #Sales #Hiring #CareerArc"
"75","Want to work in #Greenwood, IN? View our latest opening: https://t.co/9x4uD5QFFy #Sales #Job #Jobs #Hiring #CareerArc"
"76","This #job might be a great fit for you: Retail Support Associate - Shoe Expeditor, Part Time *Flexible... - https://t.co/IGkjkrOFBC #Retail"
"77","Interested in a #job in #StCloud, MN? This could be a great fit: https://t.co/kRPsDYCQSr #Retail #Hiring #CareerArc"
"78","See our latest #Mesquite, TX #job and click to apply: Women's Shoe Sales Lead, Full Time: Mesquite, TX,... - https://t.co/T9KYXBTjuv #Sales"
"79","Hurry over to Macy’s where they are offering up fantastic deals on Men’s Shoes! One great deal are these Puma... https://t.co/hYlPzwbaeT"
"80","Macy’s~ Awesome Clearance Deals on Men’s Shoes - https://t.co/rsxoKPz5fF https://t.co/JQVXoRhaa3"
"81","We're #hiring! Click to apply: **Retail Commission Sales - Women's Shoes** Part Time: Exton, PA, Macy's... - https://t.co/VdWpXFCzzn #Sales"
"82","Join the Macy's Retail team! See our latest #job opening here: https://t.co/tdLOV7K7CB #Sales #SanFrancisco, CA #Hiring #CareerArc"
"83","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Clinique, Full Time: Sherman... - https://t.co/k9lwSsc9Pu"
"84","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Shiseido, Part Time:... - https://t.co/3k3SHScKWb #Sales"
"85","Macy's: Save $40 On The North Face Fleece Jacket + FREE SHIPPING! https://t.co/4oPlCpGBRq https://t.co/w9G9BTA8KS"
"86","If you're looking for work in #Tacoma, WA, check out this #job: https://t.co/bVvhg8hGEp #Retail #Hiring #CareerArc"
"87","Can you recommend anyone for this #job? Retail Sales, Flex: Aurora, CO, Macy's Aurora Town Center - https://t.co/FOoFGbcQ5L #Aurora, CO"
"88","Interested in a #job in #StatenIsland, NY? This could be a great fit: https://t.co/Bc5ZHedwL8 #Retail #Hiring #CareerArc"
"89","Want to work at Macy's Retail? We're #hiring in #Livingston, NJ! Click for details: https://t.co/0cZa5Nv1vZ #Retail #Job #Jobs #CareerArc"
"90","Can you recommend anyone for this #job in #BayShore, NY? https://t.co/aHXznRXWlA #Retail #Hiring #CareerArc"
"91","We're #hiring! Click to apply: Retail Support Team, Flex: Duluth, GA, Macy's Gwinnett Place - https://t.co/kcvLMQ9K00 #Retail #Duluth, GA"
"92","Interested in a #job in #Farmington, CT? This could be a great fit: https://t.co/C3nyNhcYYp #Sales #Hiring #CareerArc"
"93","Can you recommend anyone for this #job in #SanDiego, CA? https://t.co/GCrWHSEzsG #Sales #Hiring #CareerArc"
"94","See our latest #Philadelphia, PA #job and click to apply: Retail Gift Registry Advisor, Full Time:... - https://t.co/RI1rLPtD2a #Retail"
"95","See our latest #OakBrook, IL #job and click to apply: **Retail Visual Merchandiser** Full Time: Oakbrook,... - https://t.co/PargWfNMaU"
"96","We're #hiring! Click to apply: Macy's Pembroke Lakes: Clinique Business Manager - https://t.co/J1v8FVk41E #Sales #PembrokePines, FL #Job"
"97","If you're looking for work in #Alpharetta, GA, check out this #job: https://t.co/6cQ8lBuwqg #Sales #Hiring #CareerArc"
"98","Can you recommend anyone for this #job in #FtLauderdale, FL? https://t.co/qySSSTwtFq #Retail #Hiring #CareerArc"
"99","Can you recommend anyone for this #job? Retail Commission Sales - Rugs, Full Time: Concord, CA, Macy's Sun... - https://t.co/dtnZD5tXxX"
"100","Want to work at Macy's Retail? We're #hiring in #HamptonBay, NY! Click for details: https://t.co/AatM11Do2f #Retail #Job #Jobs #CareerArc"
"101","Interested in a #job in #SanMateo, CA? This could be a great fit: https://t.co/xKcTpcInES #Retail #Hiring #CareerArc"
"102","We're #hiring! Click to apply: Retail Commission Sales - Women's Shoes, Part Time: Cerritos, CA, Macy's Los... - https://t.co/ygO77mcmHV"
"103","Interested in a #job in #Ocala, FL? This could be a great fit: https://t.co/sKqGTrInQ1 #Retail #Hiring #CareerArc"
"104","Want to work in #Baltimore, MD? View our latest opening: https://t.co/cKzTnS1lfb #Retail #Job #Jobs #Hiring #CareerArc"
"105","Join the Macy's Retail team! See our latest #job opening here: https://t.co/20Unc7hDC0 #SupplyChain #Secaucus, NJ #Hiring #CareerArc"
"106","Want to work at Macy's Retail? We're #hiring in #Friendswood, TX! Click for details: https://t.co/vPaRXU8UNu #Sales #Job #Jobs #CareerArc"
"107","We're #hiring! Click to apply: **Retail Sales Fine Jewelry** Full Time: Okemos, MI, Macy's Meridian - https://t.co/gzsnTYLDEQ #Okemos, MI"
"108","Interested in a #job in #OakBrook, IL? This could be a great fit: https://t.co/hGwWU14KRq #Retail #Hiring #CareerArc"
"109","RT @tmj_atl_retail: We're #hiring! Read about our latest #job opening here: Retail Support - Receiving, Flex: Duluth, GA, Macy's... - https…"
"110","Can you recommend anyone for this #job in #NorthBrunswick, NJ? https://t.co/GH3ps9RYUG #Sales #Hiring #CareerArc"
"111","Want to work in #Tigard, OR? View our latest opening: https://t.co/T6zoAKEBjD #Retail #Job #Jobs #Hiring #CareerArc"
"112","Can you recommend anyone for this #job? Retail Support - Receiving, Part Time: Concord, CA, Macy's Sun Valley - https://t.co/ReS8sDFlFN"
"113","Can you recommend anyone for this #job? Macy's Serramonte: Asset Protection / Loss Prevention Manager - https://t.co/ABDx2Bb9m2 #Finance"
"114","Join the Macy's Retail team! See our latest #job opening here: https://t.co/QXgacASjPc #Retail #Sacramento, CA #Hiring #CareerArc"
"115","This #job might be a great fit for you: Retail Commission Jewelry Captain, Full Time: Tarentum, PA, Macy's... - https://t.co/LRvI8y0qvX"
"116","Want to work at Macy's Beauty? We're #hiring in #FtMyers, FL! Click for details: https://t.co/OCbhMkMYaP #Sales #Job #Jobs #CareerArc"
"117","We're #hiring! Read about our latest #job opening here: Retail Support - Receiving, Flex: Duluth, GA, Macy's... - https://t.co/U4MYaWsRYo"
"118","See our latest #Arlington, VA #job and click to apply: **Retail Support - Receiving** Part Time: Arlington,... - https://t.co/TWN31W7oGm"
"119","If you're looking for work in #Houston, TX, check out this #job: https://t.co/TaDm3cGOUW #Retail #Hiring #CareerArc"
"120","Can you recommend anyone for this #job in #Tigard, OR? https://t.co/e7juknmvYe #Sales #Hiring #CareerArc"
"121","See our latest #Warwick, RI #job and click to apply: Retail Cosmetics Sales - Counter Manager Chanel, Full... - https://t.co/PHUExAQ8hq"
"122","Want to work at Macy's Retail? We're #hiring in #Philadelphia, PA! Click for details: https://t.co/vDctii6Wuk #Retail #Job #Jobs"
"123","Want to work at Macy's Retail? We're #hiring in #SanFrancisco, CA! Click for details: https://t.co/RLoqIthjwg #Sales #Job #Jobs #CareerArc"
"124","We're #hiring! Click to apply: Retail Commission Sales, Flex: Lafayette, LA, Macy's Acadiana - https://t.co/XJwQ48m8oH #Lafayette, LA"
"125","If you're looking for work in #Bend, OR, check out this #job: https://t.co/tFClRpH0zO #Retail #Hiring #CareerArc"
"126","@speedytomatoes @Macys I do that is why I love Macy's! You're the one who commented!"
"127","We're #hiring! Read about our latest #job opening here: Retail Sales - Men's Clothing, Full Time: Joliet,... - https://t.co/wzED7PqiqT"
"128","Want to work in #Alpharetta, GA? View our latest opening: https://t.co/WUOmbplVrU #Sales #Job #Jobs #Hiring #CareerArc"
"129","Can you recommend anyone for this #job in #Denver, CO? https://t.co/qrGuCRjK2p #Sales #Hiring #CareerArc"
"130","See our latest #SantaClarita, CA #job and click to apply: Retail Cosmetics Sales - Counter Manager Chanel,... - https://t.co/QNm1WzTGUn"
"131","Can you recommend anyone for this #job in #Deptford, NJ? https://t.co/bsXLgGVjrV #Sales #Hiring #CareerArc"
"132","If you're looking for work in #Bozeman, MT, check out this #job: https://t.co/bhKOrjow3n #Sales #Hiring #CareerArc"
"133","Join the Macy's Retail team! See our latest #job opening here: https://t.co/P6JMVnnM7w #Hospitality #Tigard, OR #Hiring #CareerArc"
"134","Want to work at Macy's Retail? We're #hiring in #CoralSprings, FL! Click for details: https://t.co/AEsBMKCDBO #Retail #Job #Jobs"
"135","This #job might be a great fit for you: Retail Sales, Full Time: Freehold, NJ, Macy's Freehold Raceway - https://t.co/G1J9rP66av #Retail"
"136","This #job might be a great fit for you: Retail Commission Sales - Women's Shoes, Full Time: Friendswood, TX,... - https://t.co/XVkIV1ISSp"
"137","Want to work at Macy's Retail? We're #hiring in #SanRafael, CA! Click for details: https://t.co/orGI3IHoGM #Retail #Job #Jobs #CareerArc"
"138","Want to work at Macy's Beauty? We're #hiring in #CitrusHeights, CA! Click for details: https://t.co/RCdWw3Q6ki #Sales #Job #Jobs"
"139","Want to work in #Charlotte, NC? View our latest opening: https://t.co/rV005xAoWE #Finance #Job #Jobs #Hiring #CareerArc"
"140","This #job might be a great fit for you: Retail Sales - Fragrance RSS Associate P &amp; G Luxury, Part Time:... - https://t.co/mm2lGz7OI3 #Sales"
"141","If you're looking for work in #Fairfax, VA, check out this #job: https://t.co/09ODvMkYVc #Sales #Hiring #CareerArc"
"142","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Shiseido, Full Time: Santa... - https://t.co/0QZQC6kLkX"
"143","Upcoming Macy's Coupon: 20% Off Super Weekend Sale - (Starts 3/8) https://t.co/zNvpGMhUuy via @DealsPlus"
"144","Want to work in #Deptford, NJ? View our latest opening: https://t.co/R4Xm3JsHzK #Finance #Job #Jobs #Hiring #CareerArc"
"145","Redevelopment of Valley View Center area continues with Macy’s building demolition: Demolition has… https://t.co/tbdq6lKnpw | @dallasecodev"
"146","See our latest #Newark, DE #job and click to apply: Macy's Christiana: Sales Supervisor - https://t.co/Zs6BM6DBvx #Retail #Hiring"
"147","Can you recommend anyone for this #job? Retail Support Signing Team Associate, Flex: Houston, TX, Macy's... - https://t.co/JXvplmwN2U"
"148","We're #hiring! Click to apply: Retail Sales, Part Time: Culver City, CA, Macy's Culver City Mall - https://t.co/fSsWYFetC7 #CulverCity, CA"
"149","We're #hiring! Read about our latest #job opening here: **Retail Support - Receiving** Flex: San Mateo, CA,... - https://t.co/LzcJCRDqrd"
"150","We're #hiring! Click to apply: Retail Support - Pricing Team Lead, Part Time: Sacramento, CA, Macy's... - https://t.co/84AXN0AZUx #Retail"
"151","If you're looking for work in #NewportBeach, CA, check out this #job: https://t.co/fGCPWtrkYW #Retail #Hiring #CareerArc"
"152","Can you recommend anyone for this #job? Retail Cosmetics Sales - Counter Manager Clinique, Full Time: Mays... - https://t.co/SUE6LhRGSC"
"153","Interested in a #job in #SugarLand, TX? This could be a great fit: https://t.co/XfzSXRhg5o #Sales #Hiring #CareerArc"
"154","This #job might be a great fit for you: Retail Support Team, Part Time: Phoenix, AZ, Macy's Paradise Valley - https://t.co/oZC3Gf0VlW"
"155","See our latest #Bellevue, WA #job and click to apply: **Connect @ Macy's Specialist** Part Time: Bellevue,... - https://t.co/TQ3oUmEZ1U"
"156","Want to work at Macy's Retail? We're #hiring in #SanMateo, CA! Click for details: https://t.co/ePgQ5WpPkJ #Sales #Job #Jobs #CareerArc"
"157","Want to work in #Kentwood, MI? View our latest opening: https://t.co/hfI5hMmnDW #Retail #Job #Jobs #Hiring #CareerArc"
"158","Want to work at Macy's Retail? We're #hiring in #Poughkeepsie, NY! Click for details: https://t.co/EakzM1eho4 #Finance #Job #Jobs"
"159","Want to work in #Houston, TX? View our latest opening: https://t.co/JE0Tjo0GOJ #Retail #Job #Jobs #Hiring #CareerArc"
"160","This #job might be a great fit for you: Macy's Queens Center: Merchandise Team Manager - https://t.co/b1hHI8uBjM #Retail #Elmhurst, NY"
"161","Join the Macy's Retail team! See our latest #job opening here: https://t.co/Swku28XBlm #Retail #Cincinnati, OH #Hiring #CareerArc"
"162","Want to work at Macy's Beauty? We're #hiring in #Greenville, SC! Click for details: https://t.co/L95UGM7evj #Sales #Job #Jobs #CareerArc"
"163","Can you recommend anyone for this #job in #Holyoke, MA? https://t.co/53BJtn09Ym #Sales #Hiring #CareerArc"
"164","Want to work in #Lynnwood, WA? View our latest opening: https://t.co/GtaztbSQmc #Retail #Job #Jobs #Hiring #CareerArc"
"165","Macy's Ultimate Pop-Up Sale {February 2017} https://t.co/fzdZbD6lh0 https://t.co/pd0cq77ZBv"
"166","Can you recommend anyone for this #job in #Northbrook, IL? https://t.co/bOEHE6SNOR #Sales #Hiring #CareerArc"
"167","If you're looking for work in #NewportBeach, CA, check out this #job: https://t.co/XkaZ1lcGep #Retail #Hiring #CareerArc"
"168","Estee Lauder Gift with Purchase at Macy’s, Lancome Gift with Purchase at Von Maur https://t.co/RdAQgzaRY4 https://t.co/N2ci0LswxX"
"169","Can you recommend anyone for this #job in #Sarasota, FL? https://t.co/Vs6OBVRJJP #Retail #Hiring #CareerArc"
"170","This #job might be a great fit for you: Macy's Logistics: Manager of Finance - https://t.co/74XNK1T04v #Finance #Tampa, FL #Hiring"
"171","Want to work at Macy's Retail? We're #hiring in #Flushing, NY! Click for details: https://t.co/XjGCYnjGWO #Retail #Job #Jobs #CareerArc"
"172","Interested in a #job in #Milford, CT? This could be a great fit: https://t.co/m88ETtwN7J #Sales #Hiring #CareerArc"
"173","This #job might be a great fit for you: Retail Support Team, Flex: Houston, TX, Macy's Memorial City - https://t.co/1LzPRS3Xdk #Houston, TX"
"174","Join the Macy's Retail team! See our latest #job opening here: https://t.co/INieQby0Tw #Retail #Rochester, NY #Hiring #CareerArc"
"175","We're #hiring! Read about our latest #job opening here: Retail Cosmetics Sales - Beauty Advisor Benefit,... - https://t.co/5hHxjkyjCs"
"176","Want to work at Macy's Beauty? We're #hiring in #Bellingham, WA! Click for details: https://t.co/JReO0n5rNa #Sales #Job #Jobs #CareerArc"
"177","Join the Macy's Retail team! See our latest #job opening here: https://t.co/ZuPOI5GfE8 #Finance #ShortHills, NJ #Hiring #CareerArc"
"178","Macy's warns sales declines will continue after dismal Q4 #cre #retail  #nyc https://t.co/vGJ5krx0x9"
"179","Want to work in #NewHartford, NY? View our latest opening: https://t.co/akxaEEruw7 #Sales #Job #Jobs #Hiring #CareerArc"
"180","Want to work at Macy's Retail? We're #hiring in #Kennewick, WA! Click for details: https://t.co/2RhRXM9x5x #Sales #Job #Jobs #CareerArc"
"181","Why TJX Is Winning Customers, In Sharp Contrast To Macy's via @forbes https://t.co/d9RVyHFAly"
"182","Can you recommend anyone for this #job in #SantaMaria, CA? https://t.co/mPS8VzozEA #Finance #Hiring #CareerArc"
"183","Can you recommend anyone for this #job in #Bend, OR? https://t.co/lZhpGB36BW #Retail #Hiring #CareerArc"
"184","Macy's may be bought by owner of Saks and Lord &amp; Taylor https://t.co/5LoR5EsaBT"
"185","Want to work at Macy's Retail? We're #hiring in #Sanford, FL! Click for details: https://t.co/ZYh476J93z #Finance #Job #Jobs #CareerArc"
"186","RT @tmj_rip_sales: Interested in a #job in #Swansea, MA? This could be a great fit: https://t.co/WktnsYJeJe #Sales #Hiring #CareerArc"
"187","Interested in a #job in #NewportBeach, CA? This could be a great fit: https://t.co/e0MPnLS3W9 #Retail #Hiring #CareerArc"
"188","We're #hiring! Click to apply: Retail Cosmetics Sales - Beauty Advisor Estee Lauder/Clinique, Part Time:... - https://t.co/iwx2k97pOg"
"189","Interested in a #job in #Paramus, NJ? This could be a great fit: https://t.co/kCZmI0o0Pt #Retail #Hiring #CareerArc"
"190","We're #hiring! Read about our latest #job opening here: **Retail Cosmetics Sales - Beauty Advisor Lancome**... - https://t.co/OVSILJ7wxM"
"191","Can you recommend anyone for this #job? Macy's Backstage Team Member, Full Time: Manchester, CT, The Shoppes... - https://t.co/fR9lTTnm9q"
"192","This #job might be a great fit for you: **Retail Cosmetics Sales - Beauty Advisor Bare Escentuals** Part... - https://t.co/jmRG8S08oJ"
"193","Macy's in talks to be bought by owner of Lord &amp; Taylor and Saks https://t.co/mshTnVUili"
"194","Macy's may be bought by owner of Saks and Lord &amp; Taylor https://t.co/7N9fh5GgMv via @CNNMoney"
"195","This #job might be a great fit for you: Retail Visual Merchandiser, Full Time: Farmington, CT, Macy's Westfarms - https://t.co/gCGYDMxj24"
"196","Want to work in #Portage, MI? View our latest opening: https://t.co/ktErQ0W1nH #Finance #Job #Jobs #Hiring #CareerArc"
"197","RT @romanticwedd: Please RT #weddings #brides Newly Engaged&amp;quot; Enter For a Chance to Win 15k at Macy?s! https://t.co/3S0qy4J7bN https://…"
"198","#Macy's Free Bonus Gift with Purchase Offers from #Borghese, ... - details at https://t.co/QRCsVSse6M #DiorBeauty… https://t.co/lmElOfe3EK"
"199","This #job might be a great fit for you: Macy's Holyoke Mall: Jewelry Sales Supervisor - https://t.co/7gwrFGyS5C #Retail #Holyoke, MA"
"200","Can you recommend anyone for this #job? Macy's Logistics: Working Supervisor- BT/ST, Full Time - https://t.co/gp9PV0Vu1O #Joppa, MD"
"201","Join the Macy's Retail team! See our latest #job opening here: https://t.co/85fS6pCwmy #Retail #Troy, MI #Hiring #CareerArc"
"202","We're #hiring! Read about our latest #job opening here: Retail Cosmetics Sales - IMPULSE Beauty Artist and... - https://t.co/2HCJTnS2Sk"
"203","Want to work in #Paramus, NJ? View our latest opening: https://t.co/PuPgqJ2sLp #Retail #Job #Jobs #Hiring #CareerArc"
"204","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Estee Lauder/Clinique, Part... - https://t.co/IgtC6xLzK1"
"205","Join the Macy's Beauty team! See our latest #job opening here: https://t.co/NhvFD1U0Oc #Sales #Portage, MI #Hiring #CareerArc"
"206","Viber bolsters chat app with buying button for Macy's, other sellers https://t.co/dGp2cSKWJm via @RetailDive"
"207","Interested in a #job in #BatonRouge, LA? This could be a great fit: https://t.co/YZ9urGjCJ0 #Sales #Hiring #CareerArc"
"208","This #job might be a great fit for you: Retail Sales - Fragrances, Part Time: Terre Haute, IN, Macy's Honey... - https://t.co/d3Lk2Gpmpa"
"209","Join the Macy's Beauty team! See our latest #job opening here: https://t.co/TuINXVnbJe #Sales #Houston, TX #Hiring #CareerArc"
"210","We're #hiring! Click to apply: Retail Commission Sales, Part Time: Miami, FL, Macy's The Falls - https://t.co/gMmEFRyPwU #Sales #Miami, FL"
